Name                                   , Type    , Phone Number, Text/Chat Support, Hours of Operation, Website,
National Mental Health                 , Hotline ,988, Yes              , 24/6              , https://chat.988lfeline.org/,
National Suicide Prevention Lifeline   , Hotline , 800-273-8255, Yes              , 24/7              , https://suicidepreventionlifeline.org/,
Philadelphia Suicide & Crisis Hotline  , Hotline , 215-686-4420, No               , 24/7              , https://healthymindsphilly.org,
Resolve Crisis Services (Pittsburgh)   , Hotline , 888-796-8226, No               , 24/7              , https://www.upmc.com/services/behavioral-health/programs/emergency-crisis/resolve-crisis-services,
NAMI Keystone PA Warmline              , Warmline, 866-615-6464, No               , Mon-Fri 9am-5pm   , https://www.namikeystonepa.org,
Lancaster County Crisis Intervention   , Hotline , 717-394-2631, No               , 24/7              , https://www.lancastergeneralhealth.org,
Crisis Text Line                       , Warmline,741741, Yes              , 24/7              , https://www.crisistextline.org/,
Mental Health Partnerships Warmline    , Warmline, 800-688-4226, No               , Mon-Fri 9am-7pm   , https://www.mentalhealthpartnerships.org/get-help,
Delaware County Crisis Connections Team, Hotline , 855-889-7827, No               , 24/7              , https://delcopa.gov/health/mentalhealth.html,
Chester County Crisis Services         , Hotline , 610-280-3270, No               , 24/7              , https://www.chesco.org/1640/Emergency,
Montgomery County Mobile Crisis Support, Hotline , 855-634-4673, Yes              , 24/7              , https://www.montgomerycountypa.gov/2059/Mobile-Crisis,
Lehigh County Crisis Intervention      , Hotline , 610-782-3127, No               , 24/7              , https://www.lehighcounty.org/Departments/Human-Services/Mental-Health/Crisis-Intervention,
Bucks County Mental Health Crisis Line , Hotline , 215-345-2273, No               , 24/7              , https://buckscounty.gov/1363/Hotlines-and-Crisis-Services#:~:text=MENTAL%20HEALTH%20CRISIS%3A&text=Central%20Bucks%20area%3A%20215%2D345%2D2273,
Philadelphia Department of Behavioral Health, Hotline , 215-685-6440, No               , 24/7              , https://dbhids.org/crisis-services/,
Montgomery County Crisis Services      , Hotline , 610-279-6100, No               , 24/7              , https://www.montgomerycountypa.gov/2059/Mobile-Crisis,
Berks County Mental Health Crisis Line , Hotline , 610-379-2007, No               , 24/7              , https://www.berkspa.gov/departments/mental-health-developmental-disabilities/crisis-intervention-services,
Cumberland County Crisis Intervention  , Hotline , 866-350-4357, No               , 24/7              , https://www.cumberlandcountypa.gov/2493/Crisis-Intervention,
